Taxa	SRR25046362	SRR25046363	SRR25046364	SRR25046365	SRR25046366	SRR25046367	SRR25046368	SRR25046369	SRR25046370	SRR25046371	SRR25046372	SRR25046373	SRR25046374	SRR25046375	SRR25046376	SRR25046377	SRR25046378	SRR25046379	SRR25046380	SRR25046381	SRR25046382	SRR25046383	SRR25046384	SRR25046385	SRR25046386	SRR25046387	SRR25046388	SRR25046389	SRR25046390	SRR25046391	SRR25046392	SRR25046393	SRR25046394	SRR25046395	SRR25758721	SRR25758722	SRR25758723	SRR25758724	SRR25758725	SRR25758726	SRR25817569	SRR25817571	SRR25817575	SRR25817577	SRR26033659	SRR26033660	SRR26033661	SRR26033662	SRR26033663	SRR26033664	SRR26033665	SRR26033666	SRR26033667	SRR26033668	SRR26033670	SRR26033671	SRR26033672	SRR26033673	SRR26033674	SRR26033675	SRR26033676	SRR26033677	SRR26033678	SRR26033679	SRR30867382	SRR30867383	SRR30867384	SRR30867385	SRR30867386	SRR30867387	SRR30867388	SRR30867389	SRR30867390	SRR30867391	SRR30867392	SRR30867393	SRR30867394	SRR30867395	SRR30867396	SRR30867397	SRR30867398	SRR30867399	SRR30867400	SRR30867401	SRR30867402	SRR30867403	SRR30867404	SRR30867405	SRR30867406	SRR30867407	SRR30867408	SRR30867409	SRR30867410	SRR30867411	SRR30867412	SRR30867413	SRR30867414	SRR30867415	SRR30867416	SRR31800879	SRR31800880	SRR31800881	SRR31800882	SRR31800884	SRR31800885	SRR31800886	SRR31800887	SRR31800888	SRR31800889	SRR31800890	SRR31800891	SRR31800892	SRR31800893	SRR31800894	SRR31800895	SRR31800896	SRR31800899	SRR31848896	SRR31848897	SRR31848898	SRR31848899	SRR31848900	SRR31848901	SRR31848902	SRR31848903	SRR31848904	SRR31848905	SRR31848906	SRR31848907	SRR31848908	SRR31848909	SRR31848910	SRR31848911	SRR31848912	SRR31848913	SRR31848914	SRR31848915	SRR31848916	SRR31848917	SRR31848918	SRR31848919	SRR31848920	SRR31848921	SRR31848922	SRR31848923	SRR31848924	SRR31848925
d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Eukaryota	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29546	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742005	459810	654266	721329	608000	577913	572987	698090	594151	608973	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa|p__Chordata	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo|s__Homo sapiens	360934	252839	6076	1596	9093	33245	11482	12058	6964	1242	12206	11250	14885	21239	36999	15227	14570	26182	24129	12999	16037	142344	7905	139114	76887	7805	69889	8703	33706	86058	16454	1494	22636	12789	485	252	488	790	265	195	250	260	194	147	53019	33671	6306	13723	18534	7419	15818	91081	27024	5643	98973	10550	7334	3985	9741	1595	9981	5083	2260	2731	6740	12551	12059	13976	10486	13722	10959	12058	15222	10056	15373	11899	33235	12595	16688	18989	17859	12156	8878	15018	67009	64074	80998	94046	23346	28380	45086	32312	24160	29545	32878	183841	73480	29971	30648	423500	442693	496929	442800	815674	742004	459810	654266	721329	608000	577912	572987	698090	594151	608972	671778	741167	453286	951	1698	1144	2467	904	1522	1417	1512	1591	757	2973	414	1378	1627	2041	1431	815	2192	1188	1807	5365	1990	584	888	2550	1547	705	1440	1876	1898
