Taxa	SRR25046362	SRR25046363	SRR25046364	SRR25046365	SRR25046366	SRR25046367	SRR25046368	SRR25046369	SRR25046370	SRR25046371	SRR25046372	SRR25046373	SRR25046374	SRR25046375	SRR25046376	SRR25046377	SRR25046378	SRR25046379	SRR25046380	SRR25046381	SRR25046382	SRR25046383	SRR25046384	SRR25046385	SRR25046386	SRR25046387	SRR25046388	SRR25046389	SRR25046390	SRR25046391	SRR25046392	SRR25046393	SRR25046394	SRR25046395	SRR25758721	SRR25758722	SRR25758723	SRR25758724	SRR25758725	SRR25758726	SRR25817569	SRR25817571	SRR25817575	SRR25817577	SRR26033659	SRR26033660	SRR26033661	SRR26033662	SRR26033663	SRR26033664	SRR26033665	SRR26033666	SRR26033667	SRR26033668	SRR26033670	SRR26033671	SRR26033672	SRR26033673	SRR26033674	SRR26033675	SRR26033676	SRR26033677	SRR26033678	SRR26033679	SRR30867382	SRR30867383	SRR30867384	SRR30867385	SRR30867386	SRR30867387	SRR30867388	SRR30867389	SRR30867390	SRR30867391	SRR30867392	SRR30867393	SRR30867394	SRR30867395	SRR30867396	SRR30867397	SRR30867398	SRR30867399	SRR30867400	SRR30867401	SRR30867402	SRR30867403	SRR30867404	SRR30867405	SRR30867406	SRR30867407	SRR30867408	SRR30867409	SRR30867410	SRR30867411	SRR30867412	SRR30867413	SRR30867414	SRR30867415	SRR30867416	SRR31800879	SRR31800880	SRR31800881	SRR31800882	SRR31800884	SRR31800885	SRR31800886	SRR31800887	SRR31800888	SRR31800889	SRR31800890	SRR31800891	SRR31800892	SRR31800893	SRR31800894	SRR31800895	SRR31800896	SRR31800899	SRR31848896	SRR31848897	SRR31848898	SRR31848899	SRR31848900	SRR31848901	SRR31848902	SRR31848903	SRR31848904	SRR31848905	SRR31848906	SRR31848907	SRR31848908	SRR31848909	SRR31848910	SRR31848911	SRR31848912	SRR31848913	SRR31848914	SRR31848915	SRR31848916	SRR31848917	SRR31848918	SRR31848919	SRR31848920	SRR31848921	SRR31848922	SRR31848923	SRR31848924	SRR31848925
d__Bacteria|p__Bacillota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Pseudomonadota	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Eukaryota	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860678	16379693	10559090	15096121	16764918	14610833	13580452	13627160	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa|p__Chordata	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo|s__Homo sapiens	452803	317892	7781	1929	11706	48769	17802	15510	10599	1523	19369	16499	21247	36389	48220	20770	22153	33134	34259	19404	21510	180759	10438	185920	91197	9548	87984	11733	45084	109784	23471	2242	27634	15992	1407	567	1131	1855	791	888	1363	1457	715	542	76386	54095	10218	20284	26210	10858	27274	166395	57716	8782	141491	19532	11343	7643	13648	2620	17633	9660	4134	5701	8682	14540	14072	15907	12549	16316	13002	14431	17615	11341	17587	13670	35848	14288	22489	20836	20310	14447	10220	17358	76542	73535	91461	106060	27982	33952	53457	38572	29391	35294	40075	209342	83487	35545	36428	8575069	8820900	10105215	8818572	17860677	16379692	10559090	15096121	16764917	14610833	13580452	13627159	16056998	9732130	13744544	14899636	16287525	10481490	1489	2632	1791	3542	1441	2149	2165	2590	2185	1150	4754	860	1970	2582	3201	2091	1470	3380	1941	2500	8371	2918	946	1351	3604	2479	1127	2377	2654	3109
