Taxa	SRR25046362	SRR25046363	SRR25046364	SRR25046365	SRR25046366	SRR25046367	SRR25046368	SRR25046369	SRR25046370	SRR25046371	SRR25046372	SRR25046373	SRR25046374	SRR25046375	SRR25046376	SRR25046377	SRR25046378	SRR25046379	SRR25046380	SRR25046381	SRR25046382	SRR25046383	SRR25046384	SRR25046385	SRR25046386	SRR25046387	SRR25046388	SRR25046389	SRR25046390	SRR25046391	SRR25046392	SRR25046393	SRR25046394	SRR25046395	SRR25758721	SRR25758722	SRR25758723	SRR25758724	SRR25758725	SRR25758726	SRR25817569	SRR25817571	SRR25817575	SRR25817577	SRR26033659	SRR26033660	SRR26033661	SRR26033662	SRR26033663	SRR26033664	SRR26033665	SRR26033666	SRR26033667	SRR26033668	SRR26033670	SRR26033671	SRR26033672	SRR26033673	SRR26033674	SRR26033675	SRR26033676	SRR26033677	SRR26033678	SRR26033679	SRR30867382	SRR30867383	SRR30867384	SRR30867385	SRR30867386	SRR30867387	SRR30867388	SRR30867389	SRR30867390	SRR30867391	SRR30867392	SRR30867393	SRR30867394	SRR30867395	SRR30867396	SRR30867397	SRR30867398	SRR30867399	SRR30867400	SRR30867401	SRR30867402	SRR30867403	SRR30867404	SRR30867405	SRR30867406	SRR30867407	SRR30867408	SRR30867409	SRR30867410	SRR30867411	SRR30867412	SRR30867413	SRR30867414	SRR30867415	SRR30867416	SRR31800879	SRR31800880	SRR31800881	SRR31800882	SRR31800884	SRR31800885	SRR31800886	SRR31800887	SRR31800888	SRR31800889	SRR31800890	SRR31800891	SRR31800892	SRR31800893	SRR31800894	SRR31800895	SRR31800896	SRR31800899	SRR31848896	SRR31848897	SRR31848898	SRR31848899	SRR31848900	SRR31848901	SRR31848902	SRR31848903	SRR31848904	SRR31848905	SRR31848906	SRR31848907	SRR31848908	SRR31848909	SRR31848910	SRR31848911	SRR31848912	SRR31848913	SRR31848914	SRR31848915	SRR31848916	SRR31848917	SRR31848918	SRR31848919	SRR31848920	SRR31848921	SRR31848922	SRR31848923	SRR31848924	SRR31848925
d__Bacteria	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Actinomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Eukaryota	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
d__Eukaryota|k__Metazoa	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
d__Eukaryota|k__Metazoa|p__Chordata	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo	390149	269652	6400	1676	9742	38159	13640	12893	7920	1276	14200	12611	16955	25434	41015	16659	16787	28240	27318	14694	17713	151239	8456	154345	82485	8212	75134	9258	36877	92866	18485	1619	24384	13565	546	258	516	887	300	221	402	486	336	216	57002	37663	7376	15341	20331	8358	18100	103218	32973	6572	107503	12732	8375	4631	10708	1822	11970	6176	2714	3481	7594	13290	12821	14573	11269	14765	11780	13006	16186	10512	16355	12613	34246	13302	18801	19705	18893	13090	9367	15917	71189	68593	85246	99180	25770	31259	49573	35576	26892	32562	36732	194705	77994	32590	33701	2716032	2797675	3185778	2799235	5443735	4994909	3162075	4530553	5034162	4315212	4025228	4025730	4804289	3437024	4137587	4531011	4952167	3140850	1110	1960	1310	2778	1037	1711	1613	1797	1748	872	3485	521	1550	1901	2345	1592	967	2457	1387	2005	5988	2228	701	1040	2890	1735	838	1698	2074	2228
